PST_PER,OWNRSHP_ID,CCNA_RAW_Volume_Valuated,Bottler_Reported_Volume,Variance
     201707,         10,         26387086.09,         26387086.09,                 .00
     201707,         30,         22135956.43,         22135953.43,                3.00
     201707,         50,         13092987.03,         13092987.03,                -.01
     201707,         55,         13103877.16,         13103877.16,                 .00
     201707,         60,          9235398.05,          9235398.05,                 .00
     201707,         65,          2970383.91,          2970383.91,                 .00
     201707,         85,          8328773.30,          8328773.31,                -.01
     201707,         90,          1749951.96,          1749951.96,                 .00
     201707,         95,          6768684.34,          6768684.35,                -.01
     201707,        110,           900005.42,           900005.42,                 .00
     201707,        140,          1154931.29,          1154931.29,                 .00
     201707,        150,           658579.29,           658579.29,                 .00
     201707,        160,          1166702.54,          1166702.54,                 .00
     201707,        170,           698636.81,           698636.81,                 .00
     201707,        200,           865396.91,           865396.91,                 .00
     201707,        210,           601215.55,           601215.55,                 .00
     201707,        220,           230821.49,           230821.49,                 .00
     201707,        230,           454277.68,           454277.68,                 .00
     201707,        270,           992118.44,           992118.44,                 .00
     201707,        300,           255084.39,           255084.39,                 .00
     201707,        350,           175533.00,           175533.00,                 .00
     201707,        640,           181467.59,           181467.59,                 .00
